"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
31,"7th-8th,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
55,"7th-8th,","Married-civ-spouse,","Craft-repair,","Male,","60,","United-States,","<=50K"
38,"Some-college,","Separated,","Other-service,","Female,","40,","United-States,","<=50K"
33,"Some-college,","Divorced,","Sales,","Female,","25,","United-States,","<=50K"
25,"Assoc-acdm,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
19,"Some-college,","Never-married,","?,","Male,","30,","United-States,","<=50K"
37,"Assoc-voc,","Divorced,","Tech-support,","Female,","52,","United-States,","<=50K"
49,"Some-college,","Divorced,","Tech-support,","Male,","35,","United-States,","<=50K"
26,"HS-grad,","Never-married,","Craft-repair,","Male,","40,","United-States,","<=50K"
35,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","43,","United-States,","<=50K"
44,"HS-grad,","Married-civ-spouse,","Sales,","Female,","60,","United-States,","<=50K"
37,"Masters,","Separated,","Exec-managerial,","Male,","45,","United-States,",">50K"
42,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","45,","United-States,",">50K"
64,"Doctorate,","Never-married,","Prof-specialty,","Female,","40,","United-States,",">50K"
28,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,",">50K"
35,"HS-grad,","Never-married,","Exec-managerial,","Male,","50,","United-States,","<=50K"
40,"Bachelors,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
55,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
21,"HS-grad,","Never-married,","Farming-fishing,","Male,","65,","United-States,","<=50K"
49,"Some-college,","Never-married,","Exec-managerial,","Female,","40,","United-States,","<=50K"
51,"Doctorate,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
57,"Prof-school,","Married-civ-spouse,","Craft-repair,","Male,","40,","Philippines,",">50K"
51,"Bachelors,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,",">50K"
38,"10th,","Never-married,","Craft-repair,","Male,","40,","?,","<=50K"
